zone_id,zone_full_name,state_fips,shipment_lane_count,total_tons,total_value_usd,climate_risk_score,climate_risk_tier,risk_intensity_score,risk_intensity_tier,state_storm_event_count,state_storm_damage_usd,ndvi_anomaly,vegetation_stress_tier,latitude,longitude
219,Remainder of Kentucky,21,10766,284322.732595,275956.26041299966,0.1836,Low,0.0027,Low,17490,202162770.0,0.013800000000000034,Normal,37.66814,-84.670067
221,"Baton Rouge, LA  CFS Area ",22,8529,244640.66583699995,143544.11236199993,0.3863,Medium,0.4585,Medium,10452,37365842800.0,-0.03049999999999997,Elevated Stress,31.169546,-91.867805
222,"Lake Charles-Jennings, LA  CFS Area ",22,5340,79447.70916800002,62340.96855400001,0.3863,Medium,0.4585,Medium,10452,37365842800.0,-0.03049999999999997,Elevated Stress,31.169546,-91.867805
223,"New Orleans-Metairie-Hammond, LA-MS  CFS Area (LA Part)",22,23094,271125.76476400055,208378.775469,0.3863,Medium,0.4585,Medium,10452,37365842800.0,-0.03049999999999997,Elevated Stress,31.169546,-91.867805
229,Remainder of Louisiana,22,9864,368840.351621,199400.978002,0.3863,Medium,0.4585,Medium,10452,37365842800.0,-0.03049999999999997,Elevated Stress,31.169546,-91.867805
230,Maine,23,11302,88082.661904,75337.38406500002,0.0467,Low,0.0201,Low,4340,204842500.0,-0.0050000000000000044,Normal,44.693947,-69.381927
241,"Baltimore-Columbia-Towson, MD  CFS Area ",24,22233,93910.08562599996,191680.144779,0.0999,Low,0.0061,Low,9412,256872490.0,-0.0048000000000000265,Normal,39.063946,-76.802101
242,"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (MD Part)",24,7660,41675.86165500002,56852.43065499999,0.0999,Low,0.0061,Low,9412,256872490.0,-0.0048000000000000265,Normal,39.063946,-76.802101
249,Remainder of Maryland,24,7590,49611.15422999996,50047.70729600001,0.0999,Low,0.0061,Low,9412,256872490.0,-0.0048000000000000265,Normal,39.063946,-76.802101
251,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (MA Part)",25,20656,157671.36515699996,388574.00746699993,0.0648,Low,0.001,Low,6176,78596090.0,-0.005799999999999916,Normal,42.230171,-71.530106
259,Remainder of Massachusetts,25,7467,22298.896087000012,44376.15177099999,0.0648,Low,0.001,Low,6176,78596090.0,-0.005799999999999916,Normal,42.230171,-71.530106
261,"Detroit-Warren-Ann Arbor, MI  CFS Area ",26,32798,196354.1562780002,500011.6731169998,0.1008,Low,0.0192,Low,8174,2119790800.0,,No Data,43.326618,-84.536095
262,"Grand Rapids-Kentwood-Muskegon, MI  CFS Area ",26,11606,56588.328147,122821.3871630001,0.1008,Low,0.0192,Low,8174,2119790800.0,,No Data,43.326618,-84.536095
269,Remainder of Michigan,26,14137,205854.9247319999,194610.33377899966,0.1008,Low,0.0192,Low,8174,2119790800.0,,No Data,43.326618,-84.536095
271,"Minneapolis-St. Paul, MN-WI  CFS Area (MN Part)",27,15010,168651.399289,303305.707245,0.1881,Low,0.0038,Low,17878,277297000.0,-0.0005999999999999339,Normal,45.694454,-93.900192
279,Remainder of Minnesota,27,14058,301427.49907200044,199841.27966099992,0.1881,Low,0.0038,Low,17878,277297000.0,-0.0005999999999999339,Normal,45.694454,-93.900192
280,Mississippi,28,11338,330292.5395600001,220805.39470800007,0.1451,Low,0.0333,Low,13237,987216350.0,-0.021100000000000008,Normal,32.741646,-89.678696
291,"Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)",29,11893,49399.381712999995,118558.02914299975,0.2321,Low,0.0464,Low,20475,2551579150.0,0.0033999999999999586,Normal,38.456085,-92.288368
292,"St. Louis-St. Charles-Farmington, MO-IL  CFS Area (MO Part)",29,12361,147304.18243400007,138809.61460600008,0.2321,Low,0.0464,Low,20475,2551579150.0,0.0033999999999999586,Normal,38.456085,-92.288368
299,Remainder of Missouri,29,10199,172774.40587000028,153782.86979800015,0.2321,Low,0.0464,Low,20475,2551579150.0,0.0033999999999999586,Normal,38.456085,-92.288368
300,Montana,30,9543,143888.30281299996,81211.32505899997,0.1338,Low,0.0079,Low,12789,89278350.0,0.01319999999999999,Normal,46.921925,-110.454353
311,"Omaha-Council Bluffs-Fremont, NE-IA  CFS Area (NE Part)",31,8368,63985.726126000096,49932.590419999986,0.2028,Low,0.0459,Low,18639,1182311460.0,-0.013699999999999934,Normal,41.12537,-98.268082
